TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	75	1	75	0	0	ASCRP3004561	ASCRP3004561	11814.7	2655.74	4.440844e+001	5.130508e+000	106.5	20	5.040014e+000	0	0	0	0	0	0	43.8248	1	1	49.8279	20.635
DATA	76	1	76	0	0	ASCRP3004592	ASCRP3004592	11840.2	2655.38	9.427935e+001	9.774015e+000	157.5	20	5.371219e+000	0	0	0	0	0	0	92.729	1	1	49.5074	20.8946
DATA	77	1	77	0	0	ASCRP3003651	ASCRP3003651	11865.5	2655.76	2.968357e+001	3.937046e+000	92	20	4.841432e+000	0	0	0	0	0	0	29.0998	1	1	49.1849	20.6699
DATA	78	1	78	0	0	ASCRP3008186	ASCRP3008186	11891.1	2655.29	8.207969e+001	8.608324e+000	143	21	5.274274e+000	0	0	0	0	0	0	80.2062	1	1	50.7771	21.6143
DATA	79	1	79	0	0	ASCRP3001172	ASCRP3001172	11916.3	2655.65	2.498935e+001	3.608184e+000	86.5	21	5.400525e+000	0	0	0	0	0	0	24.3434	1	1	47.8731	20.9942
DATA	80	1	80	66	1	DarkCorner	DarkCorner	11941.4	2655.63	8.086446e+000	2.732899e+000	67	21	5.418446e+000	0	0	0	0	0	0	7.85398	1	0	50.7771	21.3352
DATA	81	1	81	260	1	GE_BrightCorner	GE_BrightCorner	11967.3	2655.5	2.736820e+004	2.736821e+003	27274	21	5.924714e+000	0	0	0	0	0	0	26502.7	1	1	57.5363	21.859
DATA	82	1	82	260	1	GE_BrightCorner	GE_BrightCorner	11992.5	2655.5	2.817080e+004	2.817081e+003	27387	22	5.487185e+000	0	0	0	0	0	0	27205.2	1	1	57.5363	22.1394
DATA	83	2	1	260	1	GE_BrightCorner	GE_BrightCorner	9947.72	2664.23	2.664783e+004	2.664785e+003	26991	21	6.115128e+000	0	0	0	0	0	0	26792.7	1	1	44.0646	21.8679
DATA	84	2	2	66	1	DarkCorner	DarkCorner	9973.42	2663.57	2.559158e+000	2.516647e+000	54	20	5.002838e+000	0	0	0	0	0	0	-5.30958	0	0	57.5363	20.5407
DATA	85	2	3	0	0	ASCRP3011718	ASCRP3011718	9998.46	2664.08	1.435102e+002	1.456920e+001	206	20	5.138463e+000	0	0	0	0	0	0	144.857	1	1	48.2044	20.2923
DATA	86	2	4	0	0	ASCRP3004590	ASCRP3004590	10024.4	2663.57	1.050692e+002	1.080169e+001	166	20	5.016430e+000	0	0	0	0	0	0	106.295	1	1	65	20.802
DATA	87	2	5	0	0	ASCRP3004324	ASCRP3004324	10049.5	2663.86	6.889392e+000	2.594070e+000	65	20	5.059904e+000	0	0	0	0	0	0	6.98461	1	0	47.8731	20.3333
DATA	88	2	6	0	0	A_23_P57306	NM_005441	10075	2663.54	1.825039e+001	3.091275e+000	77	20	4.315189e+000	0	0	0	0	0	0	18.5462	1	1	55.8519	19.622
DATA	89	2	7	0	0	ASCRP3005419	ASCRP3005419	10100.3	2664.03	4.968176e+000	2.538547e+000	63	21	5.046096e+000	0	0	0	0	0	0	5.06002	1	0	46.1809	20.802
DATA	90	2	8	0	0	ASCRP3006367	ASCRP3006367	10125.7	2663.44	1.842441e+001	3.092066e+000	76.5	22	5.967495e+000	0	0	0	0	0	0	18.8123	1	1	49.1849	21.9531
DATA	91	2	9	0	0	ASCRP3003758	ASCRP3003758	10151.4	2663.57	1.168466e+001	2.738892e+000	69	21	4.991371e+000	0	0	0	0	0	0	11.9598	1	0	57.5363	20.4709
