ProbeName	circRNA
ASCRP3000447	hsa_circRNA_009068
ASCRP3000448	hsa_circRNA_405110
ASCRP3000449	hsa_circRNA_003673
ASCRP3000450	hsa_circRNA_100076
ASCRP3000451	hsa_circRNA_102951
ASCRP3000452	hsa_circRNA_011898
ASCRP3000453	hsa_circRNA_043285
ASCRP3000454	hsa_circRNA_104924
ASCRP3000455	hsa_circRNA_104531
ASCRP3000456	hsa_circRNA_091725
ASCRP3000457	hsa_circRNA_002416
ASCRP3000458	hsa_circRNA_406261
ASCRP3000459	hsa_circRNA_075671
ASCRP3000460	hsa_circRNA_101914
ASCRP3000461	hsa_circRNA_100568
ASCRP3000462	hsa_circRNA_100258
ASCRP3000463	hsa_circRNA_104403
ASCRP3000464	hsa_circRNA_004087
ASCRP3000465	hsa_circRNA_406311
ASCRP3000466	hsa_circRNA_100662
ASCRP3000467	hsa_circRNA_001062
ASCRP3000468	hsa_circRNA_100343
ASCRP3000469	hsa_circRNA_035861
ASCRP3000470	hsa_circRNA_103990
ASCRP3000471	hsa_circRNA_059963
ASCRP3000472	hsa_circRNA_059847
ASCRP3000473	hsa_circRNA_005593
ASCRP3000474	hsa_circRNA_061343
ASCRP3000475	hsa_circRNA_061900
ASCRP3000476	hsa_circRNA_087856
ASCRP3000477	hsa_circRNA_406327
ASCRP3000478	hsa_circRNA_100780
ASCRP3000479	hsa_circRNA_105023
ASCRP3000480	hsa_circRNA_405402
ASCRP3000481	hsa_circRNA_103563
ASCRP3000482	hsa_circRNA_068465
ASCRP3000483	hsa_circRNA_066556
ASCRP3000484	hsa_circRNA_406886
ASCRP3000485	hsa_circRNA_002837
ASCRP3000486	hsa_circRNA_058060
ASCRP3000487	hsa_circRNA_101608
ASCRP3000488	hsa_circRNA_018758
ASCRP3000489	hsa_circRNA_101754
ASCRP3000490	hsa_circRNA_022149
ASCRP3000491	hsa_circRNA_009044
ASCRP3000492	hsa_circRNA_403834
ASCRP3000493	hsa_circRNA_105005
ASCRP3000494	hsa_circRNA_100740
ASCRP3000495	hsa_circRNA_102027
ASCRP3000496	hsa_circRNA_404035
ASCRP3000497	hsa_circRNA_103740
ASCRP3000498	hsa_circRNA_102672
